pmcid,diagnosis,umls_cui,umls_name,umls_prob,count,group_ix,start_char,end_char
2494616,"unilateral, upper limb amputation and phantom limb pain",C0031315,PHANTOM LIMB PAIN,0.6671693325042725,13.0,150,8118,9527
2494616,"unilateral, upper limb amputation and phantom limb pain",C0239377,Upper limb pain,0.6447744965553284,13.0,150,8118,9527
2648877,Autism Spectrum Disorder,C0524528,Autism spectrum disorder,0.9845767617225647,15.0,116,10521,12299
2648877,Autism Spectrum Disorder,C1510586,Autism spectrum disorder,0.9845767617225647,15.0,116,10521,12299
2648877,Autism Spectrum Disorder,C0004352,Autism disorder,0.7902024388313293,15.0,116,10521,12299
2648877,Autism Spectrum Disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7291615009307861,15.0,116,10521,12299
2648877,Autism Spectrum Disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.721701443195343,15.0,116,10521,12299
2748718,Christians,C0344346,christians,0.9938357472419739,20.0,137,25958,29873
2748718,Christians,C0008532,Christian,0.8474553227424622,20.0,137,25958,29873
2748718,Christians,C0242220,Protestant Christian,0.6515681743621826,20.0,137,25958,29873
2748718,Christians,C0030328,disease weber christians,0.6396371722221375,20.0,137,25958,29873
2748718,Christians,C2678194,Christianson Syndrome,0.6355597972869873,20.0,137,25958,29873
2748718,Nonbelievers,C0002771,Pain Relievers,0.6171939969062805,21.0,138,25958,29873
2748718,Nonbelievers,C0004951,Believe,0.5784448385238647,21.0,138,25958,29873
3002948,phobic prone,C0033422,Prone,0.6658980846405029,15.0,339,8290,11062
3002948,phobic prone,C0349231,phobic disorder,0.5297921299934387,15.0,339,8290,11062
3002948,eating disorders prone,C0013473,EATING DISORDERS,0.8533963561058044,15.0,340,8290,11062
3002948,eating disorders prone,C0596170,binge disorders eating,0.7596011161804199,15.0,340,8290,11062
3002948,eating disorders prone,C0855228,Disordered Eating,0.7074334025382996,15.0,340,8290,11062
3002948,eating disorders prone,C4042784,Feeding and Eating Disorders,0.6898925304412842,15.0,340,8290,11062
3002948,eating disorders prone,C0013447,disorders earing,0.6843474507331848,15.0,340,8290,11062
3045463,idiopathic Parkinson's disease,C0030567,Idiopathic Parkinson's disease,0.9701851606369019,21.0,177,6018,9180
3182403,Parkinson's disease,C0030567,DISEASE PARKINSON'S,0.9629952907562256,21.0,330,5559,6387
3409150,smokers,C0337664,Smokers,0.9901642799377441,18.0,149,8569,9966
3409150,smokers,C0337671,ex smokers,0.9168155789375305,18.0,149,8569,9966
3409150,smokers,C3241966,Smoker,0.822004497051239,18.0,149,8569,9966
3409150,smokers,C0399478,Smokers keratosis,0.79575514793396,18.0,149,8569,9966
3409150,smokers,C0337666,cigar smokers,0.7600803375244141,18.0,149,8569,9966
3423412,Alzheimer disease,C0002395,ALZHEIMER DISEASE,0.9341862797737122,14.0,298,6223,8710
3423412,Alzheimer disease,C1364818,Alzheimer disease,0.9341862797737122,14.0,298,6223,8710
3423412,Alzheimer disease,C1418985,Alzheimer disease 3,0.9084566235542297,14.0,298,6223,8710
3423412,Alzheimer disease,C1843013,Alzheimer disease 3,0.9084566235542297,14.0,298,6223,8710
3423412,Alzheimer disease,C1418986,Alzheimer disease 4,0.9060426950454712,14.0,298,6223,8710
